,city,state,nation,coord0,coord1
0,Bayonne,New Jersey,US,40.66871,-74.11431
1,Bergenfield,New Jersey,US,40.9276,-73.99736
2,Cliffside Park,New Jersey,US,40.82149,-73.98764
3,Englewood,New Jersey,US,40.89288,-73.97264
4,Fair Lawn,New Jersey,US,40.94038,-74.13181
5,Fort Lee,New Jersey,US,40.85093,-73.97014
6,Hackensack,New Jersey,US,40.88593,-74.04347
7,Hoboken,New Jersey,US,40.74399,-74.03236
8,Jersey City,New Jersey,US,40.72816,-74.07764
9,Kearny,New Jersey,US,40.76843,-74.14542
10,North Bergen,New Jersey,US,40.80427,-74.01208
11,Paramus,New Jersey,US,40.94454,-74.07542
12,Ridgewood,New Jersey,US,40.97926,-74.11653
13,Teaneck,New Jersey,US,40.8976,-74.01597
14,Union City,New Jersey,US,40.77955,-74.02375
15,West New York,New Jersey,US,40.78788,-74.01431
16,Washington,District of Columbia,US,38.89511,-77.03637
17,Bridgeport,Connecticut,US,41.16704,-73.20483
18,Danbury,Connecticut,US,41.39482,-73.45401
19,East Haven,Connecticut,US,41.27621,-72.86843
20,Meriden,Connecticut,US,41.53815,-72.80704
21,Milford,Connecticut,US,41.22232,-73.0565
22,Naugatuck,Connecticut,US,41.48593,-73.05066
23,New Haven,Connecticut,US,41.30815,-72.92816
24,North Haven,Connecticut,US,41.39093,-72.85954
25,Norwalk,Connecticut,US,41.1176,-73.4079
26,Shelton,Connecticut,US,41.31649,-73.09316
27,Stamford,Connecticut,US,41.05343,-73.53873
28,Stratford,Connecticut,US,41.18454,-73.13317
29,Trumbull,Connecticut,US,41.24287,-73.20067
30,Waterbury,Connecticut,US,41.55815,-73.0515
31,West Haven,Connecticut,US,41.27065,-72.94705
32,Westport,Connecticut,US,41.14149,-73.3579
33,Alabaster,Alabama,US,33.24428,-86.81638
34,Bessemer,Alabama,US,33.40178,-86.95444
35,Birmingham,Alabama,US,33.52066,-86.80249
36,Center Point,Alabama,US,33.64566,-86.6836
37,Homewood,Alabama,US,33.47177,-86.80082
38,Hoover,Alabama,US,33.40539,-86.81138
39,Mountain Brook,Alabama,US,33.50094,-86.75221
40,Tuscaloosa,Alabama,US,33.20984,-87.56917
41,Vestavia Hills,Alabama,US,33.44872,-86.78777
42,Bainbridge Island,Washington,US,47.62621,-122.52124
43,Burien,Washington,US,47.47038,-122.34679
44,Des Moines,Washington,US,47.40177,-122.32429
45,Mercer Island,Washington,US,47.57065,-122.22207
46,Seattle,Washington,US,47.60621,-122.33207
47,Shoreline,Washington,US,47.75565,-122.34152
48,White Center,Washington,US,47.51732,-122.35485
49,Auburn,Maine,US,44.09785,-70.23117
50,Augusta,Maine,US,44.31062,-69.77949
51,Bangor,Maine,US,44.80118,-68.77781
52,Biddeford,Maine,US,43.49258,-70.45338
53,Brunswick,Maine,US,43.91452,-69.96533
54,Lewiston,Maine,US,44.10035,-70.21478
55,South Portland,Maine,US,43.64147,-70.24088
56,Boise,Idaho,US,43.6135,-116.20345
57,Caldwell,Idaho,US,43.66294,-116.68736
58,Coeur d'Alene,Idaho,US,47.67768,-116.78047
59,Idaho Falls,Idaho,US,43.46658,-112.03414
60,Lewiston,Idaho,US,46.41655,-117.01766
61,Meridian,Idaho,US,43.61211,-116.39151
62,Moscow,Idaho,US,46.73239,-117.00017
63,Nampa,Idaho,US,43.54072,-116.56346
64,Pocatello,Idaho,US,42.8713,-112.44553
65,Twin Falls,Idaho,US,42.56297,-114.46087
66,Atwater,California,US,37.34772,-120.60908
67,Ceres,California,US,37.59493,-120.95771
68,Lodi,California,US,38.1302,-121.27245
69,Los Banos,California,US,37.05828,-120.84992
70,Manteca,California,US,37.79743,-121.21605
71,Merced,California,US,37.30216,-120.48297
72,West Modesto,California,US,37.61754,-121.03914
73,Stockton,California,US,37.9577,-121.29078
74,Tracy,California,US,37.73987,-121.42618
75,Turlock,California,US,37.49466,-120.84659
76,San Antonio,Texas,US,29.42412,-98.49363
77,New York City,New York,US,40.71427,-74.00597
78,Los Angeles,California,US,34.05223,-118.24368
79,Allen,Texas,US,33.10317,-96.67055
80,Arlington,Texas,US,32.73569,-97.10807
81,Carrollton,Texas,US,32.95373,-96.89028
82,Cedar Hill,Texas,US,32.58847,-96.95612
83,Coppell,Texas,US,32.95457,-97.01501
84,Dallas,Texas,US,32.78306,-96.80667
85,DeSoto,Texas,US,32.58986,-96.85695
86,Duncanville,Texas,US,32.6518,-96.90834
87,Farmers Branch,Texas,US,32.92651,-96.89612
88,Flower Mound,Texas,US,33.01457,-97.09696
89,Frisco,Texas,US,33.15067,-96.82361
90,Garland,Texas,US,32.91262,-96.63888
91,Grand Prairie,Texas,US,32.74596,-96.99778
92,Irving,Texas,US,32.81402,-96.94889
93,Lancaster,Texas,US,32.59208,-96.75611
94,Lewisville,Texas,US,33.04623,-96.99417
95,McKinney,Texas,US,33.19762,-96.61527
96,Mesquite,Texas,US,32.7668,-96.59916
97,Plano,Texas,US,33.01984,-96.69889
98,Richardson,Texas,US,32.94818,-96.72972
99,Rowlett,Texas,US,32.9029,-96.56388
100,The Colony,Texas,US,33.08901,-96.88639
101,University Park,Texas,US,32.85013,-96.80028
102,Waxahachie,Texas,US,32.38653,-96.84833
103,Levittown,Pennsylvania,US,40.15511,-74.82877
104,Philadelphia,Pennsylvania,US,39.95233,-75.16379
105,Brook Park,Ohio,US,41.39838,-81.80458
106,East Cleveland,Ohio,US,41.53311,-81.57901
107,Cleveland Heights,Ohio,US,41.52005,-81.55624
108,South Euclid,Ohio,US,41.52311,-81.51846
109,Garfield Heights,Ohio,US,41.417,-81.60596
110,Lakewood,Ohio,US,41.48199,-81.79819
111,Maple Heights,Ohio,US,41.41533,-81.56596
112,Parma,Ohio,US,41.40477,-81.72291
113,Shaker Heights,Ohio,US,41.47394,-81.53707
114,Champaign,Illinois,US,40.11642,-88.24338
115,Charleston,Illinois,US,39.49615,-88.17615
116,Danville,Illinois,US,40.12448,-87.63002
117,Decatur,Illinois,US,39.84031,-88.9548
118,Quincy,Illinois,US,39.9356,-91.40987
119,Springfield,Illinois,US,39.80172,-89.64371
120,Urbana,Illinois,US,40.11059,-88.20727
121,Andover,Minnesota,US,45.2333,-93.29134
122,Duluth,Minnesota,US,46.78327,-92.10658
123,Moorhead,Minnesota,US,46.87386,-96.76951
124,East Chicago,Indiana,US,41.6392,-87.45476
125,Gary,Indiana,US,41.59337,-87.34643
126,Hammond,Indiana,US,41.58337,-87.50004
127,Highland,Indiana,US,41.55365,-87.45198
128,Hobart,Indiana,US,41.53226,-87.25504
129,LaPorte,Indiana,US,41.6106,-86.72252
130,Merrillville,Indiana,US,41.48281,-87.33281
131,Michigan City,Indiana,US,41.70754,-86.89503
