,national_park_name,activate_name,url,num_reviews,score,ranking,tags
0,Acadia National Park,Cadillac Mountain,https://www.tripadvisor.com/Attraction_Review-g143010-d108269-Reviews-Cadillac_Mountain-Acadia_National_Park_Mount_Desert_Island_Maine.html,"2,143 ",5,1,Mountains
1,Acadia National Park,Park Loop Road,https://www.tripadvisor.com/Attraction_Review-g143010-d208151-Reviews-Park_Loop_Road-Acadia_National_Park_Mount_Desert_Island_Maine.html,"1,036 ",4.5,2,Scenic Drives
2,Acadia National Park,Carriage Roads,https://www.tripadvisor.com/Attraction_Review-g143010-d219671-Reviews-Carriage_Roads-Acadia_National_Park_Mount_Desert_Island_Maine.html,384 ,5,3,Biking Trails
3,Acadia National Park,Beehive Trail,https://www.tripadvisor.com/Attraction_Review-g143010-d1089596-Reviews-Beehive_Trail-Acadia_National_Park_Mount_Desert_Island_Maine.html,350 ,5,4,Hiking Trails
4,Acadia National Park,Jordan Pond,https://www.tripadvisor.com/Attraction_Review-g143010-d109738-Reviews-Jordan_Pond-Acadia_National_Park_Mount_Desert_Island_Maine.html,728 ,4.5,5,Bodies of Water
5,Acadia National Park,Acadia National Park's Hulls Cove Visitors Center,https://www.tripadvisor.com/Attraction_Review-g143010-d109144-Reviews-Acadia_National_Park_s_Hulls_Cove_Visitors_Center-Acadia_National_Park_Mount_Deser.html,605 ,4.5,6,Visitor Centers
6,Acadia National Park,Sand Beach,https://www.tripadvisor.com/Attraction_Review-g143010-d504861-Reviews-Sand_Beach-Acadia_National_Park_Mount_Desert_Island_Maine.html,539 ,4.5,7,Beaches
7,Acadia National Park,Gorham Mountain Trail,https://www.tripadvisor.com/Attraction_Review-g143010-d1861341-Reviews-Gorham_Mountain_Trail-Acadia_National_Park_Mount_Desert_Island_Maine.html,193 ,5,8,Hiking Trails
8,Acadia National Park,Thunder Hole,https://www.tripadvisor.com/Attraction_Review-g143010-d108268-Reviews-Thunder_Hole-Acadia_National_Park_Mount_Desert_Island_Maine.html,595 ,4,9,Geologic Formations
9,Acadia National Park,Bubble Rock,https://www.tripadvisor.com/Attraction_Review-g143010-d3209219-Reviews-Bubble_Rock-Acadia_National_Park_Mount_Desert_Island_Maine.html,214 ,4.5,1,Hiking Trails
10,Acadia National Park,Otter Cliff,https://www.tripadvisor.com/Attraction_Review-g143010-d661415-Reviews-Otter_Cliff-Acadia_National_Park_Mount_Desert_Island_Maine.html,175 ,4.5,1,Geologic Formations
11,Acadia National Park,Great Head Trail,https://www.tripadvisor.com/Attraction_Review-g143010-d219670-Reviews-Great_Head_Trail-Acadia_National_Park_Mount_Desert_Island_Maine.html,139 ,5,1,Hiking Trails
12,Acadia National Park,Precipice Trail,https://www.tripadvisor.com/Attraction_Review-g143010-d108271-Reviews-Precipice_Trail-Acadia_National_Park_Mount_Desert_Island_Maine.html,171 ,5,1,Hiking Trails
13,Acadia National Park,Heart of Acadia Loop,https://www.tripadvisor.com/Attraction_Review-g143010-d264760-Reviews-Heart_of_Acadia_Loop-Acadia_National_Park_Mount_Desert_Island_Maine.html,75 ,5,1,Hiking Trails
14,Acadia National Park,Beech Mountain Trail,https://www.tripadvisor.com/Attraction_Review-g143010-d1219016-Reviews-Beech_Mountain_Trail-Acadia_National_Park_Mount_Desert_Island_Maine.html,68 ,4.5,1,Hiking Trails
15,Acadia National Park,Echo Lake Beach,https://www.tripadvisor.com/Attraction_Review-g143010-d2225755-Reviews-Echo_Lake_Beach-Acadia_National_Park_Mount_Desert_Island_Maine.html,86 ,4.5,1,Beaches
16,Acadia National Park,Little Hunters Beach,https://www.tripadvisor.com/Attraction_Review-g143010-d2314493-Reviews-Little_Hunters_Beach-Acadia_National_Park_Mount_Desert_Island_Maine.html,45 ,4.5,1,Beaches
17,Acadia National Park,Horseback Riding Tours (1),https://www.tripadvisor.com/Attractions-g143010-Activities-c61-t62-Acadia_National_Park_Mount_Desert_Island_Maine.html,45 ,4.5,1,
18,Acadia National Park,Horse-Drawn Carriage Tours (1),https://www.tripadvisor.com/Attractions-g143010-Activities-c61-t267-Acadia_National_Park_Mount_Desert_Island_Maine.html,45 ,4.5,1,
19,Acadia National Park,Day Mountain,https://www.tripadvisor.com/Attraction_Review-g143010-d109145-Reviews-Day_Mountain-Acadia_National_Park_Mount_Desert_Island_Maine.html,19 ,4.5,2,Mountains
20,Acadia National Park,Wild Gardens of Acadia,https://www.tripadvisor.com/Attraction_Review-g143010-d532268-Reviews-Wild_Gardens_of_Acadia-Acadia_National_Park_Mount_Desert_Island_Maine.html,25 ,4,2,Gardens
21,Acadia National Park,Jordan Cliffs Trail,https://www.tripadvisor.com/Attraction_Review-g143010-d8609704-Reviews-Jordan_Cliffs_Trail-Acadia_National_Park_Mount_Desert_Island_Maine.html,8 ,5,2,Nature & Wildlife Areas
22,Acadia National Park,The Bowl Trail,https://www.tripadvisor.com/Attraction_Review-g143010-d8595964-Reviews-The_Bowl_Trail-Acadia_National_Park_Mount_Desert_Island_Maine.html,10 ,4.5,2,Hiking Trails
23,Acadia National Park,Pemetic Mountain,https://www.tripadvisor.com/Attraction_Review-g143010-d10404599-Reviews-Pemetic_Mountain-Acadia_National_Park_Mount_Desert_Island_Maine.html,8 ,5,2,Mountains
24,Acadia National Park,Thompson Island Information Center,https://www.tripadvisor.com/Attraction_Review-g143010-d108270-Reviews-Thompson_Island_Information_Center-Acadia_National_Park_Mount_Desert_Island_Maine.html,11 ,4.5,2,Visitor Centers
25,Acadia National Park,Schoodic Institute at Acadia National Park,https://www.tripadvisor.com/Attraction_Review-g143010-d7912665-Reviews-Schoodic_Institute_at_Acadia_National_Park-Acadia_National_Park_Mount_Desert_Isla.html,7 ,4.5,2,Conference & Convention Centers
26,Acadia National Park,Acadia's Birds,https://www.tripadvisor.com/Attraction_Review-g143010-d104470-Reviews-Acadia_s_Birds-Acadia_National_Park_Mount_Desert_Island_Maine.html,9 ,4.5,2,Nature & Wildlife Areas
27,Acadia National Park,The Gorge Path,https://www.tripadvisor.com/Attraction_Review-g143010-d4458730-Reviews-The_Gorge_Path-Acadia_National_Park_Mount_Desert_Island_Maine.html,7 ,4.5,2,Scenic Walking Areas
28,Acadia National Park,Sieur de Monts Spring,https://www.tripadvisor.com/Attraction_Review-g143010-d8608161-Reviews-Sieur_de_Monts_Spring-Acadia_National_Park_Mount_Desert_Island_Maine.html,10 ,4,2,Historic Sites
29,Acadia National Park,Great Meadow Walk,https://www.tripadvisor.com/Attraction_Review-g143010-d104469-Reviews-Great_Meadow_Walk-Acadia_National_Park_Mount_Desert_Island_Maine.html,8 ,4,3,Historic Walking Areas
30,National Park of American Samoa,World War II Heritage Trail,https://www.tripadvisor.com/Attraction_Review-g143045-d7084459-Reviews-World_War_II_Heritage_Trail-National_Park_of_American_Samoa_Tutuila.html,4 ,3,1,Hiking Trails
31,National Park of American Samoa,National Park of American Samoa Breakers Point Trail,https://www.tripadvisor.com/Attraction_Review-g143045-d7084546-Reviews-National_Park_of_American_Samoa_Breakers_Point_Trail-National_Park_of_American_Sa.html,3 ,2,2,Hiking Trails
32,National Park of American Samoa,Blunts Point Trail,https://www.tripadvisor.com/Attraction_Review-g143045-d7084455-Reviews-Blunts_Point_Trail-National_Park_of_American_Samoa_Tutuila.html,4 ,2.5,3,Hiking Trails
33,Arches National Park,"Delicate Arch



#taplc_dmo_attribute_to_collection_clarity_0 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d117172-Reviews-Delicate_Arch-Arches_National_Park_Utah.html,"1,291 ",5,1,Geologic Formations
34,Arches National Park,"Double Arch



#taplc_dmo_attribute_to_collection_clarity_1 { display:none;}",https://www.tripadvisor.com/Attraction_Review-g143011-d146989-Reviews-Double_Arch-Arches_National_Park_Utah.html,378 ,5,2,Geologic Formations
