,index,name,street_address,city,state_abb,state,postal_code,country,address,coord_lat,coord_long,num_reviews,review_score,ranking,tag,visit_length,fee,description
0,0.0,Wyoming Territorial Prison State Historic Site,975 Snowy Range Rd,Laramie,WY,Wyoming,82070,United States,"975 Snowy Range Rd, Laramie, WY, 82070, United States",,,331,4.5,1,"Historic Sites, Sights & Landmarks",,NO,"The Wyoming Territorial Prison State Historic Site has an incredibly rich history. Run as a federal (territorial) and state prison from 1872 to 1903, it then became the Agricultural Experiment Station for the University of Wyoming after the State Prison relocated to Rawlins. The site is now operated as a Historic Site by the State of Wyoming."
1,1.0,Blue Springs State Park,2595 Highway 10,Clio,AL,Alabama,36017-3514,United States,"2595 Highway 10, Clio, AL, 36017-3514, United States",,,10,4.5,1,"State Parks, Nature & Parks",,NO,
2,2.0,Buck's Pocket State Park,393 County Road 174,Grove Hill,AL,Alabama,35975-4453,United States,"393 County Road 174, Grove Hill, AL, 35975-4453, United States",,,11,3.5,1,"Nature & Wildlife Areas, State Parks, Nature & Parks",,NO,
3,3.0,Cathedral Caverns State Park,637 Cave Rd,Woodville,AL,Alabama,35776-8700,United States,"637 Cave Rd, Woodville, AL, 35776-8700, United States",,,280,4.5,1,"Caverns & Caves, Nature & Parks",,NO,This beautiful cave system features unique rock formations and ancient relics.
4,4.0,Cheaha Resort State Park,19644 Hwy. 281,Delta,AL,Alabama,,United States,"19644 Hwy. 281, Delta, AL, , United States",,,204,4.0,1,"State Parks, Nature & Parks",,NO,
5,5.0,Chewacla State Park,124 Shell Toomer Pkwy,Auburn,AL,Alabama,36830-0600,United States,"124 Shell Toomer Pkwy, Auburn, AL, 36830-0600, United States",,,155,4.5,3,"State Parks, Nature & Parks",,NO,
6,6.0,DeSoto State Park,7104 DeSoto Parkway Northeast,Fort Payne,AL,Alabama,35967,United States,"7104 DeSoto Parkway Northeast, Fort Payne, AL, 35967, United States",,,247,4.5,2,"State Parks, Nature & Parks",,NO,"In the rustic tradition of the Civilian Conservation Corps (CCC), mountainous Desoto State Park is accented by many rushing waterfalls and fragrant wildflowers. The park was developed by the CCC in the late 1930s and the atmosphere of the CCC enhances many areas, including a Lodge, restaurant, and Cabins.
                  



                   Lodging to choose from:
                  

                   Log Cabins, Rustic CCC cabins, Chalets, Motel Rooms
                  



                   Camping options:
                  

                   Primitive Camping Cabin
                  

                   Improved campground with full hookup campsites(for RVs & tents)
                  

                   Primitive Camping
                  

                   Backpacking Campsites
                  



                   Amenities
                  

                   Other amenities include a restaurant, meeting rooms, pavilions, picnic area with playground, olympic-size swimming pool (seasonal), a nature center featuring interpretive programs and live animals, a Civilian Conservation Corps museum, and more than 25 miles of hiking and mountain biking trails; we even have an ADA-accessible boardwalk trail dedicated to Talmadge Butler, a former park superintendent.
                  



                   Activities
                  

                   Whether a nature hobbyist, outdoor enthusiast, or sporting fanatic - DeSoto State Park has plenty to do to keep you pleasantly entertained. Kayaking, fishing, hiking, biking, cycling, rappeling, bouldering, picniking, wildflower expeditions, and just plain ole' exploring nature - we literally have it all! We cater to individuals, families, and small to large groups of all kinds."
7,7.0,Frank Jackson State Park,100 Jerry Adams Dr,Opp,AL,Alabama,36467-6101,United States,"100 Jerry Adams Dr, Opp, AL, 36467-6101, United States",,,25,4.5,1,"State Parks, Nature & Parks",,NO,
8,8.0,Gulf State Park,20115 State Highway 135,Gulf Shores,AL,Alabama,,United States,"20115 State Highway 135, Gulf Shores, AL, , United States",,,811,4.5,2,"State Parks, Beaches, Nature & Parks, Outdoor Activities",,NO,"Gulf State Park's two miles of beaches greet you with plenty of white sun-kissed sand, surging surf, seagulls and sea shells, but there is more than sand and surf to sink your toes into. Inside Gulf State Park there is a championship golf course, new beach pavilion, rental cottages, tennis courts, camp sites, hiking trails, Zip Line, and a fishing pier that is 20-feet wide and extends 1,512 feet into the Gulf. This and much more make Gulf State Park the perfect in-state vacation or out-of-state adventure."
9,9.0,Joe Wheeler State Park,4403 McLean Dr.,Rogersville,AL,Alabama,35652,United States,"4403 McLean Dr., Rogersville, AL, 35652, United States",,,119,4.0,1,"State Parks, Nature & Parks",,NO,"Joe Wheeler State Park, located on Wheeler Lake, offers something for everyone; a resort lodge, a restaurant, cabins, camping, fishing, golf, tennis, swimming, convention/banquet facilities, transient slips and a marina.
                  



                   Whether you're looking for a place to spend the weekend or a place to have the perfect wedding, Joe Wheeler State Park can be your dream destination. From small church groups to large conventions, our experienced staff can make your special occasion organized and stress free."
