,google_time_spent_txt,type,name,city,state,coord0,coord1,poi_rank,img_url
0,,Feature,Times Square,New York,New York,-73.9859117188,40.7573123145,1,http://mw2.google.com/mw-panoramio/photos/small/63196174.jpg
1,1.5 hours,Feature,Empire State Building,New York,New York,-73.9854814636,40.7484308521,2,http://mw2.google.com/mw-panoramio/photos/small/80834856.jpg
2,,Feature,Grand Central Terminal,New York,New York,-73.9773730029,40.7526327658,3,http://mw2.google.com/mw-panoramio/photos/small/36205029.jpg
3,,Feature,Flatiron Building,New York,New York,-73.9894269779,40.7415214166,4,http://mw2.google.com/mw-panoramio/photos/small/50219879.jpg
4,,Feature,Rockefeller Center,New York,New York,-73.9785869037,40.7587364814,5,http://mw2.google.com/mw-panoramio/photos/small/63093959.jpg
5,,Feature,Times Square,New York,New York,-73.9859117188,40.7573123145,1,http://mw2.google.com/mw-panoramio/photos/small/63196174.jpg
6,1.5 hours,Feature,Empire State Building,New York,New York,-73.9854814636,40.7484308521,2,http://mw2.google.com/mw-panoramio/photos/small/80834856.jpg
7,,Feature,Grand Central Terminal,New York,New York,-73.9773730029,40.7526327658,3,http://mw2.google.com/mw-panoramio/photos/small/36205029.jpg
8,,Feature,Flatiron Building,New York,New York,-73.9894269779,40.7415214166,4,http://mw2.google.com/mw-panoramio/photos/small/50219879.jpg
9,,Feature,Rockefeller Center,New York,New York,-73.9785869037,40.7587364814,5,http://mw2.google.com/mw-panoramio/photos/small/63093959.jpg
10,,Feature,Brooklyn Bridge,New York,New York,-73.997652629,40.7067059117,6,http://mw2.google.com/mw-panoramio/photos/small/28052719.jpg
11,,Feature,Statue of Liberty,New York,New York,-74.0443545137,40.689153987,7,http://mw2.google.com/mw-panoramio/photos/small/11285606.jpg
12,,Feature,Guggenheim,New York,New York,-73.9591327217,40.7830054223,8,http://mw2.google.com/mw-panoramio/photos/small/79504460.jpg
13,,Feature,Chrysler Building,New York,New York,-73.9756222272,40.7515976294,9,http://mw2.google.com/mw-panoramio/photos/small/21265461.jpg
14,3 hours,Feature,Metropolitan Museum of Art,New York,New York,-73.9628814559,40.7791142446,10,http://mw2.google.com/mw-panoramio/photos/small/57496602.jpg
15,,Feature,One World Trade Center,New York,New York,-74.0120457455,40.7117148437,11,http://mw2.google.com/mw-panoramio/photos/small/80782639.jpg
16,2.5 hours,Feature,MoMA,New York,New York,-73.9771649007,40.7612933576,12,http://mw2.google.com/mw-panoramio/photos/small/53330383.jpg
17,,Feature,St. Patrick's Cathedral,New York,New York,-73.9766164871,40.758685326,13,http://mw2.google.com/mw-panoramio/photos/small/102257623.jpg
18,45 min,Feature,Washington Square Park,New York,New York,-73.9973560794,40.7310104125,14,http://mw2.google.com/mw-panoramio/photos/small/1448308.jpg
19,45 min,Feature,Top of the Rock,New York,New York,-73.9793881513,40.7590568977,15,http://mw2.google.com/mw-panoramio/photos/small/77162964.jpg
20,1 hour,Feature,Bryant Park,New York,New York,-73.9837453551,40.7539265648,16,http://mw2.google.com/mw-panoramio/photos/small/77388824.jpg
21,,Feature,Battery Park,New York,New York,-74.016362343,40.703163571,17,http://mw2.google.com/mw-panoramio/photos/small/41614707.jpg
22,45 min,Feature,High Line,New York,New York,-74.0061708484,40.7456389064,18,http://mw2.google.com/mw-panoramio/photos/small/88902282.jpg
23,,Feature,Wall Street,New York,New York,-74.0104165676,40.7069036189,19,http://mw2.google.com/mw-panoramio/photos/small/70779726.jpg
24,,Feature,South Street Seaport,New York,New York,-74.0023453109,40.7055636809,20,http://mw2.google.com/mw-panoramio/photos/small/33407701.jpg
25,,Feature,Manhattan Bridge,New York,New York,-73.9900777721,40.7039721463,21,http://mw2.google.com/mw-panoramio/photos/small/82120201.jpg
26,,Feature,Santa Monica,Los Angeles,California,-118.497412761,34.0105270186,1,http://mw2.google.com/mw-panoramio/photos/small/27181135.jpg
27,1 hour,Feature,Griffith Observatory,Los Angeles,California,-118.300419087,34.1184883368,2,http://mw2.google.com/mw-panoramio/photos/small/64740354.jpg
28,,Feature,Walt Disney Concert Hall,Los Angeles,California,-118.249473464,34.0553886479,3,http://mw2.google.com/mw-panoramio/photos/small/94115999.jpg
29,,Feature,Hollywood,Los Angeles,California,-118.339957032,34.1018401979,4,http://mw2.google.com/mw-panoramio/photos/small/12765328.jpg
30,,Feature,Venice Beach,Los Angeles,California,-118.474393128,33.9871308654,5,http://mw2.google.com/mw-panoramio/photos/small/7711289.jpg
31,15 min to 1.5 hr,Feature,Santa Monica Pier,Los Angeles,California,-118.498735682,34.008184359,6,http://mw2.google.com/mw-panoramio/photos/small/49133338.jpg
32,,Feature,Getty Museum,Los Angeles,California,-118.474364807,34.0771626952,7,http://mw2.google.com/mw-panoramio/photos/small/66017231.jpg
33,,Feature,Grauman's Chinese Theatre,Los Angeles,California,-118.340956931,34.1017094383,8,http://mw2.google.com/mw-panoramio/photos/small/99532938.jpg
34,3 hours,Feature,Getty Center,Los Angeles,California,-118.47456332,34.0770966421,9,http://mw2.google.com/mw-panoramio/photos/small/46953231.jpg
35,,Feature,Beverly Hills,Los Angeles,California,-118.402202774,34.0703171459,10,http://mw2.google.com/mw-panoramio/photos/small/64036445.jpg
36,,Feature,Union Station,Los Angeles,California,-118.236406898,34.0560576663,11,http://mw2.google.com/mw-panoramio/photos/small/34589759.jpg
37,,Feature,Los Angeles City Hall,Los Angeles,California,-118.242996695,34.0536782167,12,http://mw2.google.com/mw-panoramio/photos/small/79860501.jpg
38,,Feature,Rodeo Drive,Los Angeles,California,-118.401526534,34.0678186728,13,http://mw2.google.com/mw-panoramio/photos/small/33038461.jpg
39,,Feature,Universal Studios,Los Angeles,California,-118.355816901,34.1366207415,14,http://mw2.google.com/mw-panoramio/photos/small/36650938.jpg
40,,Feature,Manhattan Beach,Los Angeles,California,-118.412789813,33.8840441621,15,http://mw2.google.com/mw-panoramio/photos/small/52890106.jpg
41,25 min to 1 hr,Feature,Under the Pier,Los Angeles,California,-118.498006003,34.0086362927,16,http://mw2.google.com/mw-panoramio/photos/small/11410472.jpg
42,3 hours,Feature,LACMA,Los Angeles,California,-118.359395153,34.0632105172,17,http://mw2.google.com/mw-panoramio/photos/small/47586841.jpg
43,45 min to 2 hr,Feature,Queen Mary,Los Angeles,California,-118.190307407,33.7529921186,18,http://mw2.google.com/mw-panoramio/photos/small/18998758.jpg
44,,Feature,Hollywood Bowl,Los Angeles,California,-118.339094893,34.1121532406,19,http://mw2.google.com/mw-panoramio/photos/small/24108333.jpg
45,,Feature,Hollywood Sign,Los Angeles,California,-118.300562258,34.1189954535,20,http://mw2.google.com/mw-panoramio/photos/small/65480723.jpg
46,2 hours,Feature,Bradbury Building,Los Angeles,California,-118.247975178,34.0506782595,21,http://mw2.google.com/mw-panoramio/photos/small/13190170.jpg
47,30 min,Feature,The Bean,Chicago,Illinois,-87.6233008207,41.8827218323,1,http://mw2.google.com/mw-panoramio/photos/small/38487679.jpg
48,,Feature,Navy Pier,Chicago,Illinois,-87.6078915068,41.8914766468,2,http://mw2.google.com/mw-panoramio/photos/small/13520455.jpg
49,,Feature,Sears Tower,Chicago,Illinois,-87.6360413208,41.8788817675,3,http://mw2.google.com/mw-panoramio/photos/small/21827913.jpg
50,,Feature,John Hancock Center,Chicago,Illinois,-87.6233876252,41.8987857332,4,http://mw2.google.com/mw-panoramio/photos/small/755445.jpg
51,,Feature,Chicago River,Chicago,Illinois,-87.6258126706,41.8882907241,5,http://mw2.google.com/mw-panoramio/photos/small/92931645.jpg
52,,Feature,Chicago,Chicago,Illinois,-87.6236431662,41.8980859159,6,http://mw2.google.com/mw-panoramio/photos/small/15065325.jpg
53,,Feature,Wrigley Field,Chicago,Illinois,-87.6560719557,41.9477401113,7,http://mw2.google.com/mw-panoramio/photos/small/37890723.jpg
54,45 min,Feature,Millennium Park,Chicago,Illinois,-87.6233407515,41.8827206615,8,http://mw2.google.com/mw-panoramio/photos/small/21738142.jpg
55,15 min,Feature,Crown Fountain,Chicago,Illinois,-87.6237431285,41.8814937409,9,http://mw2.google.com/mw-panoramio/photos/small/77799921.jpg
56,2.5 hours,Feature,Art Institute of Chicago,Chicago,Illinois,-87.6239077083,41.8795776443,10,http://mw2.google.com/mw-panoramio/photos/small/19997255.jpg
57,,Feature,Chicago Theatre,Chicago,Illinois,-87.6278443802,41.885278766,11,http://mw2.google.com/mw-panoramio/photos/small/72032092.jpg
58,,Feature,Trump Tower,Chicago,Illinois,-87.62644952,41.8888651054,12,http://mw2.google.com/mw-panoramio/photos/small/5558960.jpg
59,,Feature,Marina City,Chicago,Illinois,-87.6285657894,41.8879048662,13,http://mw2.google.com/mw-panoramio/photos/small/82246925.jpg
60,,Feature,Jay Pritzker Pavilion,Chicago,Illinois,-87.6218873858,41.8831254435,14,http://mw2.google.com/mw-panoramio/photos/small/52543579.jpg
61,,Feature,Buckingham Fountain,Chicago,Illinois,-87.6184990103,41.8754968871,15,http://mw2.google.com/mw-panoramio/photos/small/97958549.jpg
62,,Feature,Union Station,Chicago,Illinois,-87.6398578311,41.8786688732,16,http://mw2.google.com/mw-panoramio/photos/small/42149675.jpg
63,45 min to 2 hr,Feature,Water Tower,Chicago,Illinois,-87.6244461733,41.8971642509,17,http://mw2.google.com/mw-panoramio/photos/small/42974482.jpg
64,,Feature,Michigan Avenue Bridge,Chicago,Illinois,-87.6242917076,41.8889241289,18,http://mw2.google.com/mw-panoramio/photos/small/28217032.jpg
65,,Feature,Wrigley Building,Chicago,Illinois,-87.6244612567,41.8896181829,19,http://mw2.google.com/mw-panoramio/photos/small/57705738.jpg
66,3 hours,Feature,Field Museum,Chicago,Illinois,-87.6170278938,41.8662916445,20,http://mw2.google.com/mw-panoramio/photos/small/53542084.jpg
67,1.5 hours,Feature,Adler Planetarium,Chicago,Illinois,-87.6071671121,41.8666158694,21,http://mw2.google.com/mw-panoramio/photos/small/43238331.jpg
68,,Feature,Minute Maid Park,Houston,Texas,-95.3554304147,29.7568884463,1,http://mw2.google.com/mw-panoramio/photos/small/29517702.jpg
69,2.5 hours,Feature,Houston Zoo,Houston,Texas,-95.3910608385,29.714666748,2,http://mw2.google.com/mw-panoramio/photos/small/68070141.jpg
70,1.5 hours,Feature,San Jacinto Monument,Houston,Texas,-95.0807925918,29.7498555763,3,http://mw2.google.com/mw-panoramio/photos/small/101487299.jpg
71,2.5 hours,Feature,Discovery Green,Houston,Texas,-95.3594825524,29.7532954763,4,http://mw2.google.com/mw-panoramio/photos/small/57812628.jpg
72,2 hours,Feature,Hermann Park,Houston,Texas,-95.3909810243,29.7211919171,5,http://mw2.google.com/mw-panoramio/photos/small/65461276.jpg
73,2.5 hours,Feature,Kemah Boardwalk,Houston,Texas,-95.0180128847,29.5477205049,6,http://mw2.google.com/mw-panoramio/photos/small/539528.jpg
74,,Feature,Kemah,Houston,Texas,-95.0183002636,29.5475798391,7,http://mw2.google.com/mw-panoramio/photos/small/22969286.jpg
75,,Feature,Saturn V,Houston,Texas,-95.0943771822,29.5539950492,8,http://mw2.google.com/mw-panoramio/photos/small/66505213.jpg
76,,Feature,Rice University,Houston,Texas,-95.3986294871,29.7190719621,9,http://mw2.google.com/mw-panoramio/photos/small/11522285.jpg
77,2.5 hours,Feature,Downtown Aquarium,Houston,Texas,-95.3674009086,29.764131676,10,http://mw2.google.com/mw-panoramio/photos/small/10435022.jpg
78,1 hour,Feature,Rothko Chapel,Houston,Texas,-95.3961768307,29.7373981301,11,http://mw2.google.com/mw-panoramio/photos/small/55997008.jpg
