,name,city,state,rating,reviews,city_rank,fee,visit_length,tag
0,Central Park,New York,New York,4.5,92215,1,No,More than 3 hours,Points of Interest & Landmarks
1,The National 9/11 Memorial & Museum,New York,New York,4.5,61712,2,No,1-2 hours,Specialty Museums
2,The Metropolitan Museum of Art,New York,New York,5.0,40443,3,Yes,2-3 hours,Points of Interest & Landmarks
3,Central Park,New York,New York,4.5,92215,1,No,More than 3 hours,Points of Interest & Landmarks
4,The National 9/11 Memorial & Museum,New York,New York,4.5,61712,2,No,1-2 hours,Specialty Museums
5,The Metropolitan Museum of Art,New York,New York,5.0,40443,3,Yes,2-3 hours,Points of Interest & Landmarks
6,Top of the Rock Observation Deck,New York,New York,4.5,57358,4,Yes,Yes,Observation Decks & Towers
7,Manhattan Skyline,New York,New York,5.0,15918,5,No,15 min,Points of Interest & Landmarks
8,Grand Central Terminal,New York,New York,4.5,28478,7,No,1-2 hours,Architectural Buildings
9,The High Line,New York,New York,4.5,42015,8,No,2-3 hours,Scenic Walking Areas
10,Broadway,New York,New York,4.5,22816,9,No,15 min,Points of Interest & Landmarks
11,Frick Collection,New York,New York,4.5,7179,10,No,15 min,Art Museums
12,Empire State Building,New York,New York,4.5,52446,11,Yes,1-2 hours,Architectural Buildings
13,Bryant Park,New York,New York,4.5,15170,14,No,2-3 hours,Nature & Parks
14,Statue of Liberty,New York,New York,4.5,26918,15,Yes,More than 3 hours,Monuments & Statues
15,One World Observatory - World Trade Center,New York,New York,4.5,13948,16,No,1-2 hours,Observation Decks & Towers
16,St. Patrick's Cathedral,New York,New York,4.5,8125,17,No,15 min,Churches & Cathedrals
17,Ground Zero Museum Workshop,New York,New York,5.0,2658,18,No,1-2 hours,Specialty Museums
18,Staten Island Ferry,New York,New York,4.5,14354,19,No,15 min,Ferries
19,Radio City Music Hall,New York,New York,4.5,7025,20,No,2-3 hours,Theaters
20,Rockefeller Center,New York,New York,4.5,16707,21,No,1-2 hours,Points of Interest & Landmarks
21,New York Public Library,New York,New York,4.5,9547,23,No,15 min,Specialty Museums
22,Madison Square Garden,New York,New York,4.5,6500,24,No,15 min,Arenas & Stadiums
23,The Met Cloisters,New York,New York,4.5,4064,25,Yes,More than 3 hours,Sacred & Religious Sites
24,Tenement Museum,New York,New York,4.5,4846,26,No,1-2 hours,Specialty Museums
25,Times Square,New York,New York,4.5,30873,27,No,1-2 hours,Neighborhoods
26,The Museum of Modern Art (MoMA),New York,New York,4.5,12160,29,Yes,2-3 hours,Art Museums
27,Central Park,New York,New York,4.5,92215,1,No,More than 3 hours,Points of Interest & Landmarks
28,The National 9/11 Memorial & Museum,New York,New York,4.5,61713,2,No,1-2 hours,Specialty Museums
29,The Metropolitan Museum of Art,New York,New York,5.0,40443,3,Yes,2-3 hours,Points of Interest & Landmarks
30,Top of the Rock Observation Deck,New York,New York,4.5,57358,4,Yes,Yes,Observation Decks & Towers
31,Manhattan Skyline,New York,New York,5.0,15918,5,No,15 min,Points of Interest & Landmarks
32,Grand Central Terminal,New York,New York,4.5,28479,7,No,1-2 hours,Architectural Buildings
33,The High Line,New York,New York,4.5,42015,8,No,2-3 hours,Scenic Walking Areas
34,Broadway,New York,New York,4.5,22816,9,No,15 min,Points of Interest & Landmarks
35,Frick Collection,New York,New York,4.5,7179,10,No,15 min,Art Museums
36,Empire State Building,New York,New York,4.5,52446,11,Yes,1-2 hours,Architectural Buildings
37,Bryant Park,New York,New York,4.5,15170,14,No,2-3 hours,Nature & Parks
38,Statue of Liberty,New York,New York,4.5,26918,15,Yes,More than 3 hours,Monuments & Statues
39,One World Observatory - World Trade Center,New York,New York,4.5,13948,16,No,1-2 hours,Observation Decks & Towers
40,St. Patrick's Cathedral,New York,New York,4.5,8125,17,No,15 min,Churches & Cathedrals
41,Ground Zero Museum Workshop,New York,New York,5.0,2658,18,No,1-2 hours,Specialty Museums
42,Staten Island Ferry,New York,New York,4.5,14354,19,No,15 min,Ferries
43,Radio City Music Hall,New York,New York,4.5,7025,20,No,2-3 hours,Theaters
44,Rockefeller Center,New York,New York,4.5,16707,21,No,1-2 hours,Points of Interest & Landmarks
45,New York Public Library,New York,New York,4.5,9547,23,No,15 min,Specialty Museums
46,Madison Square Garden,New York,New York,4.5,6500,24,No,15 min,Arenas & Stadiums
47,The Met Cloisters,New York,New York,4.5,4064,25,Yes,More than 3 hours,Sacred & Religious Sites
48,Tenement Museum,New York,New York,4.5,4846,26,No,1-2 hours,Specialty Museums
49,Times Square,New York,New York,4.5,30873,27,No,1-2 hours,Neighborhoods
50,The Museum of Modern Art (MoMA),New York,New York,4.5,12160,29,Yes,2-3 hours,Art Museums
51,The Getty Center,Los Angeles,California,5.0,10328,1,Yes,2-3 hours,Specialty Museums
52,Universal Studios Hollywood,Los Angeles,California,4.5,24681,2,No,15 min,Theme Parks
53,Griffith Observatory,Los Angeles,California,4.5,12585,3,No,More than 3 hours,Observation Decks & Towers
54,California Science Center,Los Angeles,California,4.5,2864,5,No,2-3 hours,Science Museums
