,google_time_spent_txt,type,name,city,state,coord0,coord1,poi_rank,img_url,rating,reviews,city_rank,fee,visit_length,tag,google_normal_min,google_fast_min,tripadvisor_fast_min,tripadvisor_normal_min,adjusted_normal_time_spent,adjusted_fast_time_spent,county,theme_park
0,,Feature,Times Square,New York,New York,-73.9859117188,40.7573123145,1,http://mw2.google.com/mw-panoramio/photos/small/63196174.jpg,4.5,30873.0,27.0,No,1-2 hours,Neighborhoods,None,None,60.0,120.0,120.0,60.0,NEW YORK,False
1,1.5 hours,Feature,Empire State Building,New York,New York,-73.9854814636,40.7484308521,2,http://mw2.google.com/mw-panoramio/photos/small/80834856.jpg,4.5,52446.0,11.0,Yes,1-2 hours,Architectural Buildings,90.0,45.0,60.0,120.0,90.0,45.0,NEW YORK,False
2,,Feature,Grand Central Terminal,New York,New York,-73.9773730029,40.7526327658,3,http://mw2.google.com/mw-panoramio/photos/small/36205029.jpg,4.5,28478.0,7.0,No,1-2 hours,Architectural Buildings,None,None,60.0,120.0,120.0,60.0,NEW YORK,False
3,,Feature,Flatiron Building,New York,New York,-73.9894269779,40.7415214166,4,http://mw2.google.com/mw-panoramio/photos/small/50219879.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
4,,Feature,Rockefeller Center,New York,New York,-73.9785869037,40.7587364814,5,http://mw2.google.com/mw-panoramio/photos/small/63093959.jpg,4.5,16707.0,21.0,No,1-2 hours,Points of Interest & Landmarks,None,None,60.0,120.0,120.0,60.0,NEW YORK,False
10,,Feature,Brooklyn Bridge,New York,New York,-73.997652629,40.7067059117,6,http://mw2.google.com/mw-panoramio/photos/small/28052719.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
11,,Feature,Statue of Liberty,New York,New York,-74.0443545137,40.689153987,7,http://mw2.google.com/mw-panoramio/photos/small/11285606.jpg,4.5,26918.0,15.0,Yes,More than 3 hours,Monuments & Statues,None,None,180,300,300.0,180,NEW YORK,False
12,,Feature,Guggenheim,New York,New York,-73.9591327217,40.7830054223,8,http://mw2.google.com/mw-panoramio/photos/small/79504460.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
13,,Feature,Chrysler Building,New York,New York,-73.9756222272,40.7515976294,9,http://mw2.google.com/mw-panoramio/photos/small/21265461.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
14,3 hours,Feature,Metropolitan Museum of Art,New York,New York,-73.9628814559,40.7791142446,10,http://mw2.google.com/mw-panoramio/photos/small/57496602.jpg,5.0,40443.0,3.0,Yes,2-3 hours,Points of Interest & Landmarks,180.0,90.0,120.0,180.0,180.0,90.0,NEW YORK,False
